==========================================
STORM MONITOR - Auto-Shutdown on High PPS
==========================================
Target Container: nop-custom-web
Target Port: 80
PPS Threshold: 2000
Monitoring Interface: any
Sample Interval: 1s
Log File: storm_monitor_20251230_185446.log
Started: Tue Dec 30 18:54:46 UTC 2025
==========================================

📍 Container IP: 172.19.0.5

🔧 Installing tcpdump in container...
OCI runtime exec failed: exec failed: unable to start container process: exec: "bash": executable file not found in $PATH: unknown
✓ tcpdump ready

🔍 Starting packet monitoring...
⚠️  Will shutdown port 80 when PPS exceeds 2000
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

[18:54:46] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 0s
[18:54:46] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 0s
[18:54:47] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 1s
[18:54:48] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 2s
[18:54:48] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 2s
[18:54:49] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 3s
[18:54:49] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 3s
[18:54:50] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 4s
[18:54:50] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 4s
[18:54:51] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 5s
[18:54:51] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 5s
[18:54:52] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 6s
[18:54:53] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 7s
[18:54:53] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 7s
[18:54:54] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 8s
[18:54:54] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 8s
[18:54:55] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 9s
[18:54:55] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 9s
[18:54:56] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 10s
[18:54:57] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 10s
[18:54:57] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 11s
[18:54:58] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 12s
[18:54:58] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 12s
[18:54:59] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 13s
[18:54:59] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 13s
[18:55:00] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 14s
[18:55:00] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 14s
[18:55:01] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 15s
[18:55:02] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 16s
[18:55:02] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 16s
[18:55:03] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 17s
[18:55:03] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 17s
[18:55:04] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 18s
[18:55:04] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 18s
[18:55:05] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 19s
[18:55:05] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 19s
[18:55:06] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 20s
[18:55:07] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 21s
[18:55:07] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 21s
[18:55:08] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 22s
[18:55:08] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 22s
[18:55:09] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 23s
[18:55:09] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 23s
[18:55:10] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 24s
[18:55:10] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 24s
[18:55:11] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 25s
[18:55:12] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 26s
[18:55:12] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 26s
[18:55:13] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 27s
[18:55:13] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 27s
[18:55:14] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 28s
[18:55:14] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 28s
[18:55:15] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 29s
[18:55:15] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 29s
[18:55:16] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 30s
[18:55:17] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 31s
[18:55:17] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 31s
[18:55:18] 📊 PPS: 0 | Avg: 0 | Peak: 0 | Status: ✓ NORMAL | Elapsed: 32s
